time,latitude,longitude,rh,sp,t2m
2025/6/3 0:00,31,112,45.033478,98632.75,20.424225
2025/6/3 0:00,31,112.25,46.506134,99485.75,20.369537
2025/6/3 0:00,31,112.5,48.19754,99905.75,19.592194
2025/6/3 0:00,31,112.75,49.15457,99794.75,18.924225
2025/6/3 0:00,31,113,47.818634,99099.75,18.682037
2025/6/3 0:00,31,113.25,46.939728,99422.75,17.701569
2025/6/3 0:00,31,113.5,44.724884,99953.75,18.49649
2025/6/3 0:00,31,113.75,43.076447,100146.75,18.549225
2025/6/3 0:00,31,114,43.46707,100012.75,18.1586
2025/6/3 0:00,31,114.25,43.392853,99741.75,18.254303
2025/6/3 0:00,31,114.5,42.170197,100116.75,18.389069
2025/6/3 0:00,31,114.75,39.693634,99935.75,18.668365
2025/6/3 0:00,31,115,38.330353,98988.75,18.484772
2025/6/3 0:00,30.75,112,47.775665,99763.75,20.560944
2025/6/3 0:00,30.75,112.25,46.45926,100053.75,20.537506
2025/6/3 0:00,30.75,112.5,48.775665,100103.75,20.144928
2025/6/3 0:00,30.75,112.75,49.349884,100114.75,19.512115
2025/6/3 0:00,30.75,113,46.55301,100137.75,18.807037
2025/6/3 0:00,30.75,113.25,45.52176,100236.75,18.82071
2025/6/3 0:00,30.75,113.5,43.43582,100327.75,18.988678
2025/6/3 0:00,30.75,113.75,42.330353,100373.75,18.732819
2025/6/3 0:00,30.75,114,43.119415,100357.75,18.416412
2025/6/3 0:00,30.75,114.25,42.71707,100238.75,18.598053
2025/6/3 0:00,30.75,114.5,41.60379,100227.75,18.426178
2025/6/3 0:00,30.75,114.75,39.963165,100070.75,18.017975
2025/6/3 0:00,30.75,115,41.049103,99566.75,17.709381
2025/6/3 0:00,30.5,112,47.939728,100316.75,21.15274
2025/6/3 0:00,30.5,112.25,46.263947,100187.75,20.781647
2025/6/3 0:00,30.5,112.5,47.881134,100232.75,20.25821
2025/6/3 0:00,30.5,112.75,47.09207,100324.75,19.672272
2025/6/3 0:00,30.5,113,44.412384,100375.75,19.139069
2025/6/3 0:00,30.5,113.25,44.14676,100320.75,18.881256
2025/6/3 0:00,30.5,113.5,42.775665,100298.75,18.428131
2025/6/3 0:00,30.5,113.75,42.799103,100280.75,18.273834
2025/6/3 0:00,30.5,114,43.70926,100289.75,18.50235
2025/6/3 0:00,30.5,114.25,42.830353,100353.75,19.115631
2025/6/3 0:00,30.5,114.5,42.443634,100340.75,18.7836
2025/6/3 0:00,30.5,114.75,43.13504,100431.75,19.043365
2025/6/3 0:00,30.5,115,47.861603,100268.75,19.019928
2025/6/3 0:00,30.25,112,47.064728,100281.75,21.092194
2025/6/3 0:00,30.25,112.25,45.744415,100295.75,20.77774
2025/6/3 0:00,30.25,112.5,45.47879,100366.75,20.0961
2025/6/3 0:00,30.25,112.75,44.314728,100395.75,19.435944
2025/6/3 0:00,30.25,113,43.299103,100309.75,18.959381
2025/6/3 0:00,30.25,113.25,43.77957,100315.75,18.613678
2025/6/3 0:00,30.25,113.5,42.95926,100427.75,18.295319
2025/6/3 0:00,30.25,113.75,43.795197,100373.75,18.250397
2025/6/3 0:00,30.25,114,44.357697,100373.75,18.568756
2025/6/3 0:00,30.25,114.25,43.72879,100340.75,18.828522
2025/6/3 0:00,30.25,114.5,45.443634,100172.75,18.793365
2025/6/3 0:00,30.25,114.75,49.59207,99978.75,18.910553
2025/6/3 0:00,30.25,115,58.588165,100030.75,19.416412
2025/6/3 0:00,30,112,46.314728,100263.75,21.129303
2025/6/3 0:00,30,112.25,43.502228,100303.75,20.65274
2025/6/3 0:00,30,112.5,42.97879,100334.75,19.97696
2025/6/3 0:00,30,112.75,43.099884,100346.75,19.475006
2025/6/3 0:00,30,113,42.70926,100412.75,18.984772
2025/6/3 0:00,30,113.25,43.213165,100444.75,18.928131
2025/6/3 0:00,30,113.5,43.16629,100412.75,19.859772
2025/6/3 0:00,30,113.75,44.388947,100248.75,19.475006
2025/6/3 0:00,30,114,44.431915,100226.75,19.19571
2025/6/3 0:00,30,114.25,45.15457,100159.75,18.5336
2025/6/3 0:00,30,114.5,50.220978,99929.75,18.404694
2025/6/3 0:00,30,114.75,57.79129,99476.75,18.369537
2025/6/3 0:00,30,115,69.64676,99207.75,18.62735
2025/6/3 0:00,29.75,112,44.62332,100283.75,21.072662
2025/6/3 0:00,29.75,112.25,41.525665,100326.75,20.580475
2025/6/3 0:00,29.75,112.5,42.732697,100296.75,20.236725
2025/6/3 0:00,29.75,112.75,42.974884,100254.75,19.826569
2025/6/3 0:00,29.75,113,42.170197,100323.75,19.709381
2025/6/3 0:00,29.75,113.25,43.224884,100270.75,20.203522
2025/6/3 0:00,29.75,113.5,43.30301,100168.75,20.785553
2025/6/3 0:00,29.75,113.75,44.224884,99746.75,19.719147
2025/6/3 0:00,29.75,114,45.27176,99514.75,18.955475
