id,latitude,longitude,rh,sp,t2m,id
70,24.2,112.7,93.12,96249.35,22.32,70
71,24.2,112.8,94.2,96907.35,23.02,71
72,24.2,112.9,95.57,97397.35,23.63,72
73,24.2,113,96.62,97916.55,24.23,73
74,24.2,113.1,97.04,98117.35,24.52,74
75,24.2,113.2,97.41,98291.75,24.78,75
76,24.2,113.3,97.48,98316.15,24.89,76
77,24.2,113.4,97.24,98190.55,24.85,77
78,24.2,113.5,97,98073.35,24.84,78
79,24.2,113.6,97.55,97801.35,24.76,79
80,24.2,113.7,98.1,97529.35,24.68,80
81,24.2,113.8,98.3,97066.15,24.61,81
82,24.2,113.9,98.93,96671.35,24.81,82
83,24.2,114,99.56,96276.55,25.01,83
84,24.2,114.1,99.52,96011.35,24.91,84
85,24.2,114.2,99.48,95746.15,24.81,85
86,24.2,114.3,99.68,95944.75,24.99,86
87,24.2,114.4,99.83,95837.95,24.75,87
88,24.2,114.5,99.98,95731.15,24.5,88
89,24.2,114.6,99.94,96071.15,24.58,89
90,24.2,114.7,99.9,96411.15,24.66,90
91,24.2,114.8,99.81,96784.15,24.86,91
92,24.2,114.9,99.5,97267.35,25.22,92
93,24.2,115,99.34,97505.95,25.42,93
94,24.3,112,95.49,94557.95,21.05,94
95,24.3,112.1,93.86,94514.75,20.83,95
96,24.3,112.2,92.48,94178.75,20.42,96
97,24.3,112.3,91.47,94178.35,20.3,97
98,24.3,112.4,90.8,94513.55,20.45,98
99,24.3,112.5,90.39,94833.15,20.6,99
100,24.3,112.6,91.18,95659.15,21.39,100
101,24.3,112.7,91.97,96485.15,22.19,101
102,24.3,112.8,92.93,96730.95,22.66,102
103,24.3,112.9,94.31,97220.95,23.27,103
104,24.3,113,95.4,97373.15,23.71,104
105,24.3,113.1,96.08,97636.95,24,105
106,24.3,113.2,96.45,97811.35,24.26,106
107,24.3,113.3,97.1,98158.35,24.51,107
108,24.3,113.4,96.86,98032.75,24.47,108
109,24.3,113.5,96.62,97907.15,24.44,109
110,24.3,113.6,97.17,97635.15,24.35,110
111,24.3,113.7,97.71,97363.15,24.27,111
112,24.3,113.8,98.79,97086.15,24.45,112
113,24.3,113.9,99.42,96691.35,24.65,113
114,24.3,114,100.05,96296.55,24.85,114
115,24.3,114.1,100.01,96031.35,24.75,115
116,24.3,114.2,99.97,95766.15,24.65,116
117,24.3,114.3,99.91,95564.55,24.38,117
118,24.3,114.4,100.06,95457.75,24.14,118
119,24.3,114.5,100.21,95350.95,23.89,119
120,24.3,114.6,100.19,95635.55,24.02,120
121,24.3,114.7,100.15,95975.55,24.1,121
122,24.3,114.8,99.93,96378.95,24.33,122
123,24.3,114.9,99.62,96862.15,24.7,123
124,24.3,115,99.32,97345.35,25.06,124
125,24.4,112,93.8,94310.35,20.61,125
126,24.4,112.1,91.9,94559.95,20.59,126
127,24.4,112.2,90.27,94516.75,20.38,127
128,24.4,112.3,89.25,94516.35,20.25,128
129,24.4,112.4,88.84,94835.95,20.4,129
130,24.4,112.5,88.68,95139.95,20.53,130
131,24.4,112.6,89.47,95965.95,21.33,131
132,24.4,112.7,90.03,95967.55,21.67,132
133,24.4,112.8,91,96213.35,22.14,133
134,24.4,112.9,92.09,96365.55,22.57,134
135,24.4,113,92.91,96179.95,22.83,135
136,24.4,113.1,93.89,96533.15,23.15,136
137,24.4,113.2,94.57,96796.95,23.45,137
138,24.4,113.3,95.22,97143.95,23.7,138
139,24.4,113.4,96.15,97663.55,23.95,139
140,24.4,113.5,95.91,97537.95,23.92,140
141,24.4,113.6,96.46,97265.95,23.83,141
142,24.4,113.7,97.82,97120.75,23.87,142
143,24.4,113.8,98.89,96843.75,24.05,143
144,24.4,113.9,99.68,96434.95,24.38,144
145,24.4,114,100.31,96040.15,24.57,145
146,24.4,114.1,100.27,95774.95,24.48,146
147,24.4,114.2,99.99,95537.75,24.14,147
148,24.4,114.3,99.93,95336.15,23.86,148
149,24.4,114.4,100.1,95170.15,23.66,149
150,24.4,114.5,100.25,95063.35,23.41,150
151,24.4,114.6,100.26,95292.55,23.59,151
152,24.4,114.7,100.24,95577.15,23.71,152
153,24.4,114.8,100.02,95980.55,23.95,153
154,24.4,114.9,99.61,96447.35,24.34,154
155,24.4,115,99.3,96930.55,24.71,155
156,24.5,112,92.11,94062.75,20.18,156
157,24.5,112.1,90.21,94312.35,20.16,157
158,24.5,112.2,88.32,94561.95,20.14,158
159,24.5,112.3,87.29,94838.75,20.19,159
160,24.5,112.4,87.13,95142.75,20.33,160
161,24.5,112.5,86.97,95446.75,20.47,161
162,24.5,112.6,87.54,95448.35,20.81,162
163,24.5,112.7,88.1,95449.95,21.14,163
164,24.5,112.8,88.79,95357.95,21.44,164
165,24.5,112.9,89.61,95172.35,21.69,165
166,24.5,113,90.42,94986.75,21.95,166
167,24.5,113.1,91.41,95339.95,22.28,167
168,24.5,113.2,92.39,95693.15,22.6,168
169,24.5,113.3,93.34,96129.55,22.89,169
170,24.5,113.4,94.27,96649.15,23.14,170
171,24.5,113.5,95.2,97168.75,23.4,171
172,24.5,113.6,96.56,97023.55,23.43,172
173,24.5,113.7,97.92,96878.35,23.47,173
174,24.5,113.8,98.99,96601.35,23.65,174
175,24.5,113.9,99.78,96192.55,23.98,175
176,24.5,114,100.58,95783.75,24.3,176
177,24.5,114.1,100.29,95546.55,23.96,177
178,24.5,114.2,100,95309.35,23.62,178
179,24.5,114.3,99.95,95107.75,23.34,179
180,24.5,114.4,100.12,94941.75,23.14,180
181,24.5,114.5,100.29,94775.75,22.93,181
182,24.5,114.6,100.3,95004.95,23.11,182
183,24.5,114.7,100.3,95234.15,23.28,183
184,24.5,114.8,100.1,95582.15,23.57,184
185,24.5,114.9,99.7,96048.95,23.96,185
186,24.5,115,99.29,96515.75,24.35,186
187,24.6,112,89.33,94126.35,20.07,187
188,24.6,112.1,87.49,94523.95,20.14,188
189,24.6,112.2,85.59,94773.55,20.12,189
190,24.6,112.3,84.57,95050.35,20.18,190
191,24.6,112.4,84.41,95354.35,20.32,191
192,24.6,112.5,85.13,95689.95,20.43,192
193,24.6,112.6,85.69,95691.55,20.77,193
194,24.6,112.7,86.34,95175.95,20.72,194
195,24.6,112.8,86.87,94540.95,20.59,195
196,24.6,112.9,87.45,94329.55,20.81,196
197,24.6,113,88.27,94143.95,21.06,197
198,24.6,113.1,89.64,95115.95,21.69,198
199,24.6,113.2,90.62,95469.15,22.01,199
200,24.6,113.3,91.57,95905.55,22.3,200
201,24.6,113.4,92.5,96425.15,22.55,201
202,24.6,113.5,94.27,97023.55,22.86,202
203,24.6,113.6,96.19,97214.75,23.36,203
204,24.6,113.7,97.55,97069.55,23.39,204
205,24.6,113.8,98.88,96646.35,23.54,205
206,24.6,113.9,99.93,96091.35,23.83,206
207,24.6,114,100.72,95682.55,24.15,207
208,24.6,114.1,100.44,95445.35,23.81,208
209,24.6,114.2,100.21,95265.15,23.42,209
210,24.6,114.3,100.06,95220.55,23.11,210
211,24.6,114.4,100.09,95154.55,22.92,211
212,24.6,114.5,100.26,94988.55,22.71,212
213,24.6,114.6,100.27,95217.75,22.89,213
214,24.6,114.7,100.23,95430.95,23.06,214
215,24.6,114.8,99.98,95762.95,23.34,215
216,24.6,114.9,99.58,96229.75,23.73,216
217,24.6,115,99.14,96290.15,24.04,217
218,24.7,112,86.55,94189.95,19.96,218
219,24.7,112.1,84.7,94587.55,20.03,219
220,24.7,112.2,82.86,94985.15,20.11,220
221,24.7,112.3,81.84,95261.95,20.17,221
222,24.7,112.4,82.56,95597.55,20.28,222
223,24.7,112.5,83.29,95933.15,20.4,223
224,24.7,112.6,83.93,95417.55,20.35,224
225,24.7,112.7,84.65,94384.75,19.91,225
226,24.7,112.8,85.19,93749.75,19.79,226
227,24.7,112.9,85.53,93512.55,19.96,227
228,24.7,113,86.11,93301.15,20.18,228
229,24.7,113.1,87.48,94273.15,20.8,229
230,24.7,113.2,88.85,95245.15,21.42,230
231,24.7,113.3,89.8,95681.55,21.71,231
232,24.7,113.4,91.57,96279.95,22.02,232
233,24.7,113.5,93.35,96878.35,22.33,233
234,24.7,113.6,95.26,97069.55,22.82,234
235,24.7,113.7,97.18,97260.75,23.32,235
236,24.7,113.8,98.51,96837.55,23.46,236
237,24.7,113.9,99.82,96136.35,23.72,237
238,24.7,114,100.87,95581.35,24,238
239,24.7,114.1,100.64,95401.15,23.61,239
240,24.7,114.2,100.46,95277.95,23.17,240
241,24.7,114.3,100.32,95233.35,22.86,241
242,24.7,114.4,100.21,95267.35,22.68,242
243,24.7,114.5,100.24,95201.35,22.49,243
244,24.7,114.6,100.19,95414.55,22.66,244
245,24.7,114.7,100.11,95611.75,22.83,245
246,24.7,114.8,99.86,95943.75,23.11,246
247,24.7,114.9,99.43,96004.15,23.42,247
248,24.7,115,99,96064.55,23.73,248
249,24.8,112,84.61,93919.35,19.61,249
250,24.8,112.1,82.77,94316.95,19.68,250
251,24.8,112.2,80.93,94714.55,19.76,251
252,24.8,112.3,80.2,95264.15,20.01,252
253,24.8,112.4,80.93,95599.75,20.12,253
254,24.8,112.5,81.65,95935.35,20.24,254
255,24.8,112.6,82.14,95043.75,19.81,255
256,24.8,112.7,82.86,94010.95,19.37,256
257,24.8,112.8,83.39,93375.95,19.24,257
258,24.8,112.9,83.73,93138.75,19.42,258
259,24.8,113,84.21,92995.95,19.55,259
260,24.8,113.1,85.58,93967.95,20.17,260
261,24.8,113.2,86.94,94939.95,20.79,261
262,24.8,113.3,89.29,95602.15,21.36,262
263,24.8,113.4,91.06,96200.55,21.67,263
264,24.8,113.5,92.83,96798.95,21.98,264
265,24.8,113.6,94.75,96990.15,22.47,265
266,24.8,113.7,96.66,97181.35,22.96,266
267,24.8,113.8,98.33,96883.55,23.35,267
268,24.8,113.9,99.64,96182.35,23.6,268
269,24.8,114,100.94,95481.15,23.85,269
270,24.8,114.1,100.77,95357.95,23.41,270
271,24.8,114.2,100.59,95234.75,22.97,271
272,24.8,114.3,100.49,95391.35,22.71,272
273,24.8,114.4,100.38,95425.35,22.53,273
274,24.8,114.5,100.16,95501.75,22.38,274
275,24.8,114.6,100.24,95667.75,22.55,275
276,24.8,114.7,100.15,95864.95,22.72,276
277,24.8,114.8,99.8,95993.75,22.96,277
278,24.8,114.9,99.37,96054.15,23.27,278
279,24.8,115,98.94,96114.55,23.58,279
280,24.9,112,83.53,93314.55,19.01,280
281,24.9,112.1,81.69,93712.15,19.09,281
282,24.9,112.2,80.03,94243.35,19.33,282
283,24.9,112.3,79.3,94792.95,19.57,283
284,24.9,112.4,79.5,95360.95,19.83,284
285,24.9,112.5,80.22,95696.55,19.95,285
286,24.9,112.6,80.46,94946.15,19.53,286
287,24.9,112.7,80.94,94054.55,19.1,287
288,24.9,112.8,81.48,93419.55,18.97,288
289,24.9,112.9,81.95,93276.75,19.1,289
290,24.9,113,82.56,93228.35,19.18,290
291,24.9,113.1,83.93,94200.35,19.8,291
292,24.9,113.2,86.31,95170.35,20.42,292
293,24.9,113.3,88.65,95832.55,20.99,293
294,24.9,113.4,90.96,96186.95,21.5,294
295,24.9,113.5,92.73,96785.35,21.81,295
296,24.9,113.6,94.65,96976.55,22.3,296
297,24.9,113.7,96.43,97154.95,22.84,297
298,24.9,113.8,98.1,96857.15,23.22,298
299,24.9,113.9,99.64,96083.15,23.45,299
300,24.9,114,100.95,95381.95,23.7,300
301,24.9,114.1,100.77,95258.75,23.26,301
302,24.9,114.2,100.68,95537.95,22.92,302
303,24.9,114.3,100.58,95694.55,22.66,303
304,24.9,114.4,100.36,95770.95,22.5,304
305,24.9,114.5,100.04,95889.75,22.37,305
306,24.9,114.6,100.28,96024.55,22.55,306
307,24.9,114.7,100.36,96190.55,22.73,307
308,24.9,114.8,100.01,96319.35,22.97,308
309,24.9,114.9,99.41,96379.75,23.28,309
310,24.9,115,98.98,96440.15,23.59,310
311,25,112,82.45,92709.75,18.42,311
312,25,112.1,80.78,93240.95,18.66,312
313,25,112.2,79.12,93772.15,18.89,313
314,25,112.3,78.39,94321.75,19.14,314
315,25,112.4,78.59,94889.75,19.4,315
316,25,112.5,78.8,95457.75,19.66,316
317,25,112.6,79.03,94707.35,19.24,317
318,25,112.7,79.27,93956.95,18.81,318
319,25,112.8,79.7,93557.55,18.64,319
320,25,112.9,80.31,93509.15,18.73,320
321,25,113,80.92,93460.75,18.81,321
322,25,113.1,83.29,94430.75,19.43,322
323,25,113.2,85.67,95400.75,20.05,323
324,25,113.3,88.01,96062.95,20.62,324
325,25,113.4,90.32,96417.35,21.13,325
326,25,113.5,92.63,96771.75,21.64,326
327,25,113.6,94.42,96950.15,22.18,327
328,25,113.7,96.2,97128.55,22.71,328
329,25,113.8,97.87,96830.75,23.09,329
330,25,113.9,99.41,96056.75,23.32,330
331,25,114,100.95,95282.75,23.55,331
332,25,114.1,100.86,95561.95,23.21,332
333,25,114.2,100.77,95841.15,22.87,333
334,25,114.3,100.56,96040.15,22.63,334
335,25,114.4,100.24,96158.95,22.5,335
336,25,114.5,99.92,96277.75,22.37,336
337,25,114.6,100.16,96412.55,22.55,337
338,25,114.7,100.4,96547.35,22.73,338
339,25,114.8,100.22,96644.95,22.98,339
340,25,114.9,99.61,96705.35,23.28,340
341,25,115,99.01,96765.75,23.59,341
342,25.1,112,82.33,92672.55,18.14,342
343,25.1,112.1,80.66,93203.75,18.37,343
344,25.1,112.2,79.31,93666.95,18.58,344
345,25.1,112.3,78.59,94088.75,18.82,345
346,25.1,112.4,78.5,94596.95,19.1,346
347,25.1,112.5,78.7,95164.95,19.36,347
348,25.1,112.6,78.94,94414.55,18.94,348
349,25.1,112.7,78.69,94117.55,18.73,349
350,25.1,112.8,78.69,94201.15,18.8,350
351,25.1,112.9,79.36,94182.35,18.89,351
352,25.1,113,79.97,94133.95,18.98,352
353,25.1,113.1,82.35,95103.95,19.6,353
354,25.1,113.2,85.04,95454.55,19.92,354
355,25.1,113.3,87.64,95462.15,20.16,355
356,25.1,113.4,89.88,95781.35,20.66,356
357,25.1,113.5,92.19,96135.75,21.17,357
358,25.1,113.6,93.69,96237.75,21.74,358
359,25.1,113.7,95.48,96416.15,22.28,359
360,25.1,113.8,97.14,96118.35,22.66,360
361,25.1,113.9,98.68,95344.35,22.89,361
362,25.1,114,100.97,94929.15,23.25,362
363,25.1,114.1,101.42,95498.35,23.08,363
364,25.1,114.2,101.33,95777.55,22.74,364
365,25.1,114.3,101.12,95976.55,22.5,365
366,25.1,114.4,100.8,96095.35,22.37,366
367,25.1,114.5,99.96,96652.55,22.54,367
368,25.1,114.6,100.2,96776.95,22.72,368
369,25.1,114.7,100.44,96911.75,22.9,369
370,25.1,114.8,100.26,97009.35,23.14,370
371,25.1,114.9,99.65,97069.75,23.45,371
372,25.1,115,98.7,96933.75,23.49,372
373,25.2,112,82.21,92635.35,17.85,373
374,25.2,112.1,80.85,93098.55,18.06,374
375,25.2,112.2,79.81,93493.75,18.25,375
376,25.2,112.3,79.09,93915.55,18.49,376
377,25.2,112.4,78.7,94363.95,18.78,377
378,25.2,112.5,78.6,94872.15,19.06,378
379,25.2,112.6,78.36,94575.15,18.86,379
380,25.2,112.7,77.63,94731.55,18.88,380
381,25.2,112.8,77.63,94815.15,18.94,381
382,25.2,112.9,78.36,94825.95,19.05,382
383,25.2,113,79.03,94807.15,19.14,383
384,25.2,113.1,81.72,95157.75,19.46,384
385,25.2,113.2,84.74,94888.95,19.48,385
386,25.2,113.3,87.33,94896.55,19.72,386
387,25.2,113.4,89.51,95180.55,20.2,387
388,25.2,113.5,91.75,95499.75,20.7,388
389,25.2,113.6,93.25,95601.75,21.27,389
390,25.2,113.7,94.76,95703.75,21.84,390
391,25.2,113.8,96.42,95405.95,22.23,391
392,25.2,113.9,98.7,94990.75,22.59,392
393,25.2,114,100.99,94575.55,22.96,393
394,25.2,114.1,101.44,95144.75,22.78,394
395,25.2,114.2,101.89,95713.95,22.61,395
396,25.2,114.3,101.69,95912.95,22.37,396
397,25.2,114.4,100.84,96470.15,22.54,397
398,25.2,114.5,100,97027.35,22.72,398
399,25.2,114.6,100.24,97151.75,22.89,399
400,25.2,114.7,100.48,97276.15,23.06,400
401,25.2,114.8,100.29,97373.75,23.31,401
402,25.2,114.9,99.35,97237.75,23.35,402
403,25.2,115,98.4,97101.75,23.38,403
404,25.3,112,81.59,93331.55,18.03,404
405,25.3,112.1,80.52,93497.95,18.09,405
406,25.3,112.2,79.48,93893.15,18.28,406
407,25.3,112.3,78.76,94314.95,18.52,407
408,25.3,112.4,78.37,94763.35,18.81,408
409,25.3,112.5,78.7,94880.75,18.94,409
410,25.3,112.6,77.98,95037.15,18.96,410
411,25.3,112.7,77.25,95193.55,18.99,411
412,25.3,112.8,77.71,95219.55,19.05,412
413,25.3,112.9,78.44,95230.35,19.15,413
414,25.3,113,78.77,95110.75,19.16,414
415,25.3,113.1,80.91,94743.95,19.12,415
416,25.3,113.2,83.93,94475.15,19.14,416
417,25.3,113.3,86.52,94482.75,19.39,417
418,25.3,113.4,88.69,94766.75,19.87,418
419,25.3,113.5,90.31,94678.75,20.14,419
420,25.3,113.6,91.82,94780.75,20.71,420
421,25.3,113.7,93.32,94882.75,21.29,421
422,25.3,113.8,95.92,95035.15,21.92,422
423,25.3,113.9,98.21,94619.95,22.29,423
424,25.3,114,100.49,94204.75,22.65,424
425,25.3,114.1,100.94,94773.95,22.48,425
426,25.3,114.2,101.4,95343.15,22.3,426
427,25.3,114.3,101.62,96027.75,22.39,427
428,25.3,114.4,100.78,96584.95,22.56,428
429,25.3,114.5,99.93,97142.15,22.74,429
430,25.3,114.6,100.17,97266.55,22.91,430
431,25.3,114.7,100.41,97390.95,23.08,431
432,25.3,114.8,99.22,97505.15,23.2,432
433,25.3,114.9,98.27,97369.15,23.23,433
434,25.3,115,97.33,97233.15,23.27,434
435,25.4,112,80.47,94761.15,18.67,435
436,25.4,112.1,79.38,94698.75,18.61,436
437,25.4,112.2,78.32,94865.15,18.67,437
438,25.4,112.3,77.6,95286.95,18.91,438
439,25.4,112.4,77.94,95404.35,19.04,439
440,25.4,112.5,79,95190.75,19.01,440
441,25.4,112.6,78.27,95347.15,19.03,441
442,25.4,112.7,78.48,95388.35,19.05,442
443,25.4,112.8,78.94,95414.35,19.11,443
444,25.4,112.9,79.27,95294.75,19.13,444
445,25.4,113,79.21,95044.75,19.04,445
446,25.4,113.1,80.47,94579.95,18.95,446
447,25.4,113.2,82.61,94213.15,18.91,447
448,25.4,113.3,85.21,94220.75,19.15,448
449,25.4,113.4,86.82,94132.75,19.43,449
450,25.4,113.5,87.88,93672.75,19.49,450
451,25.4,113.6,89.39,93774.75,20.07,451
452,25.4,113.7,90.95,93880.35,20.66,452
453,25.4,113.8,93.55,94032.75,21.3,453
454,25.4,113.9,97.2,94231.95,21.97,454
455,25.4,114,99.48,93816.75,22.34,455
456,25.4,114.1,99.94,94385.95,22.16,456
457,25.4,114.2,102.06,95138.35,22.1,457
458,25.4,114.3,102.29,95822.95,22.18,458
459,25.4,114.4,100.6,96439.75,22.42,459
460,25.4,114.5,99.76,96996.95,22.59,460
461,25.4,114.6,99.99,97121.35,22.77,461
462,25.4,114.7,98.48,97440.15,22.95,462
463,25.4,114.8,97.29,97554.35,23.07,463
464,25.4,114.9,96.44,97463.95,23.11,464
465,25.4,115,95.49,97327.95,23.15,465
466,25.5,112,79.35,96190.75,19.31,466
467,25.5,112.1,78.27,96128.35,19.25,467
468,25.5,112.2,77.18,96065.95,19.19,468
469,25.5,112.3,77.17,95927.95,19.14,469
470,25.5,112.4,78.23,95714.35,19.11,470
471,25.5,112.5,79.29,95500.75,19.08,471
472,25.5,112.6,79.5,95541.95,19.1,472
473,25.5,112.7,79.7,95583.15,19.12,473
474,25.5,112.8,79.78,95478.75,19.09,474
475,25.5,112.9,79.71,95228.75,19.01,475
476,25.5,113,79.65,94978.75,18.92,476
477,25.5,113.1,80.91,94513.95,18.83,477
478,25.5,113.2,82.17,94049.15,18.73,478
479,25.5,113.3,83.33,93586.75,18.72,479
480,25.5,113.4,84.39,93126.75,18.78,480
481,25.5,113.5,85.45,92666.75,18.85,481
482,25.5,113.6,87.02,92772.35,19.44,482
483,25.5,113.7,88.58,92877.95,20.04,483
484,25.5,113.8,91.18,93030.35,20.67,484
485,25.5,113.9,94.83,93229.55,21.35,485
486,25.5,114,98.47,93428.75,22.03,486
487,25.5,114.1,100.6,94181.15,21.96,487
488,25.5,114.2,102.73,94933.55,21.89,488
489,25.5,114.3,102.95,95618.15,21.98,489
490,25.5,114.4,101.27,96234.95,22.22,490
491,25.5,114.5,99.58,96851.75,22.45,491
492,25.5,114.6,98.06,97170.55,22.64,492
493,25.5,114.7,96.55,97489.35,22.83,493
494,25.5,114.8,95.36,97603.55,22.94,494
495,25.5,114.9,94.51,97513.15,22.98,495
496,25.5,115,93.65,97422.75,23.02,496
497,25.6,112,79.82,96322.35,19.46,497
498,25.6,112.1,78.73,96259.95,19.4,498
499,25.6,112.2,77,96405.55,19.43,499
500,25.6,112.3,76.64,96560.75,19.47,500
501,25.6,112.4,78,96432.35,19.44,501
502,25.6,112.5,79.06,96218.75,19.41,502
503,25.6,112.6,79.91,95892.35,19.25,503
504,25.6,112.7,80.12,95933.55,19.27,504
505,25.6,112.8,80.19,95829.15,19.24,505
506,25.6,112.9,80.13,95579.15,19.15,506
507,25.6,113,79.26,95315.55,19.03,507
508,25.6,113.1,79.64,94861.55,18.86,508
509,25.6,113.2,80.9,94396.75,18.76,509
510,25.6,113.3,82.32,93917.95,18.73,510
511,25.6,113.4,83.65,93441.55,18.77,511
512,25.6,113.5,84.71,92981.55,18.84,512
513,25.6,113.6,86.15,92455.95,19.08,513
514,25.6,113.7,87.71,92561.55,19.68,514
515,25.6,113.8,90.32,92713.95,20.31,515
516,25.6,113.9,93.96,92913.15,20.99,516
517,25.6,114,96.17,93079.15,21.69,517
518,25.6,114.1,98.3,93831.55,21.63,518
519,25.6,114.2,100.71,94661.15,21.62,519
520,25.6,114.3,101.21,95422.95,21.76,520
521,25.6,114.4,99.52,96039.75,22,521
522,25.6,114.5,98.36,96927.75,22.35,522
523,25.6,114.6,95.24,97218.15,22.49,523
524,25.6,114.7,93.72,97536.95,22.67,524
525,25.6,114.8,92.54,97651.15,22.79,525
526,25.6,114.9,91.68,97560.75,22.83,526
527,25.6,115,91.1,97475.95,22.81,527
528,25.7,112,80.28,96453.95,19.6,528
529,25.7,112.1,78.55,96599.55,19.63,529
530,25.7,112.2,76.16,96953.15,19.75,530
531,25.7,112.3,75.8,97108.35,19.79,531
532,25.7,112.4,77.47,97065.15,19.76,532
533,25.7,112.5,78.84,96936.75,19.73,533
534,25.7,112.6,79.69,96610.35,19.58,534
535,25.7,112.7,80.54,96283.95,19.42,535
536,25.7,112.8,80.61,96179.55,19.39,536
537,25.7,112.9,79.74,95915.95,19.26,537
538,25.7,113,78.87,95652.35,19.13,538
539,25.7,113.1,79.25,95198.35,18.97,539
540,25.7,113.2,79.63,94744.35,18.8,540
541,25.7,113.3,81.05,94265.55,18.76,541
542,25.7,113.4,82.64,93772.75,18.78,542
543,25.7,113.5,83.96,93296.35,18.82,543
544,25.7,113.6,85.4,92770.75,19.07,544
545,25.7,113.7,86.85,92245.15,19.32,545
546,25.7,113.8,89.45,92397.55,19.95,546
547,25.7,113.9,91.66,92563.55,20.66,547
548,25.7,114,93.87,92729.55,21.36,548
549,25.7,114.1,96.28,93559.15,21.35,549
550,25.7,114.2,98.97,94465.95,21.4,550
551,25.7,114.3,99.47,95227.75,21.55,551
552,25.7,114.4,98.31,96115.75,21.9,552
553,25.7,114.5,97.14,97003.75,22.25,553
554,25.7,114.6,94.02,97294.15,22.38,554
555,25.7,114.7,90.9,97584.55,22.52,555
556,25.7,114.8,89.71,97698.75,22.63,556
557,25.7,114.9,89.13,97613.95,22.62,557
558,25.7,115,88.55,97529.15,22.6,558
559,25.8,112,80.45,95987.35,19.36,559
560,25.8,112.1,78.06,96340.95,19.48,560
561,25.8,112.2,75.67,96694.55,19.6,561
562,25.8,112.3,75.24,97344.15,19.91,562
563,25.8,112.4,76.91,97300.95,19.89,563
564,25.8,112.5,78.58,97257.75,19.86,564
565,25.8,112.6,79.05,97228.75,19.86,565
566,25.8,112.7,79.9,96902.35,19.7,566
567,25.8,112.8,79.89,96607.35,19.56,567
568,25.8,112.9,79.02,96343.75,19.43,568
569,25.8,113,78.32,96288.75,19.44,569
570,25.8,113.1,79.01,95791.15,19.24,570
